Academy ID,Academy Name,Slug,Latitude,Longitude,Description,Sport,Address,City,State,Contact Number,Google Maps Link,Academy Image,Coach Name,Coach Sport,Coach Experience,Coach Academy,Fees,Facilities,Batch Timings,Age Groups,Gender,Batch Capacity,Certifications,Rating,Reviews,Verified,Social Links
aa5ed81e-75ab-4023-9787-3107ffc00075,Elite Athletic Center Visakhapatnam 1,elite-athletic-center-visakhapatnam-1,17.686436,83.235082,Professional Cricket coaching academy offering structured training programs.,Cricket,"Plot 188, Victory Avenue, Visakhapatnam",Visakhapatnam,Andhra Pradesh,+916419248842,"https://maps.google.com/?q=17.686436,83.235082",https://picsum.photos/seed/elite-athletic-center-visakhapatnam-1/800/600,Harish Rao,Cricket,25 Years,Elite Athletic Center Visakhapatnam 1,₹4744/month,"Bowling Machine, Video Analysis, Gym, Turf Nets",6:00 AM - 8:00 AM,5-10,Girls,91,"BCCI Level 1, BCCI Level 2",3.8,379,False,"{""instagram"": ""https://instagram.com/elite-athletic-center-visakhapatnam-1"", ""facebook"": ""https://facebook.com/elite-athletic-center-visakhapatnam-1"", ""youtube"": ""https://youtube.com/@elite-athletic-center-visakhapatnam-1""}"
fb50f8ee-4250-4e68-b2cf-2579dcd4d53c,Star Sports Institute Rajahmundry 2,star-sports-institute-rajahmundry-2,16.954109,81.850693,Professional Volleyball coaching academy offering structured training programs.,Volleyball,"Plot 716, Stadium Road, Rajahmundry",Rajahmundry,Andhra Pradesh,+919438480602,"https://maps.google.com/?q=16.954109,81.850693",https://picsum.photos/seed/star-sports-institute-rajahmundry-2/800/600,Rohit Nair,Volleyball,11 Years,Star Sports Institute Rajahmundry 2,₹5596/month,"Flood Lights, Indoor Court, Sand Court, Fitness Center",6:00 PM - 8:00 PM,15-18,Boys,75,Volleyball Federation Certified,4.8,314,False,"{""instagram"": ""https://instagram.com/star-sports-institute-rajahmundry-2"", ""facebook"": ""https://facebook.com/star-sports-institute-rajahmundry-2"", ""youtube"": ""https://youtube.com/@star-sports-institute-rajahmundry-2""}"
ec99959f-2c78-4316-8a43-6dbd66eda184,National Sports Institute Vijayawada 3,national-sports-institute-vijayawada-3,16.537136,80.653442,Professional Badminton coaching academy offering structured training programs.,Badminton,"Plot 809, Ring Road, Vijayawada",Vijayawada,Andhra Pradesh,+919415499155,"https://maps.google.com/?q=16.537136,80.653442",https://picsum.photos/seed/national-sports-institute-vijayawada-3/800/600,Rohit Nair,Badminton,4 Years,National Sports Institute Vijayawada 3,₹2920/month,"Shuttle Supply, Wooden Courts, Indoor Courts, Fitness Center",4:00 PM - 6:00 PM,15-18,Boys,42,BAI Certified Coach,4.3,131,False,"{""instagram"": ""https://instagram.com/national-sports-institute-vijayawada-3"", ""facebook"": ""https://facebook.com/national-sports-institute-vijayawada-3"", ""youtube"": ""https://youtube.com/@national-sports-institute-vijayawada-3""}"
58fe5af8-9023-44f1-8693-41e50da39064,Elite Performance Academy Tirupati 4,elite-performance-academy-tirupati-4,13.643552,79.441893,Professional Basketball coaching academy offering structured training programs.,Basketball,"Plot 68, Central Park, Tirupati",Tirupati,Andhra Pradesh,+917286188557,"https://maps.google.com/?q=13.643552,79.441893",https://picsum.photos/seed/elite-performance-academy-tirupati-4/800/600,Ajay Yadav,Basketball,19 Years,Elite Performance Academy Tirupati 4,₹5876/month,"Outdoor Court, Indoor Court, Locker Rooms, Fitness Center",6:00 AM - 8:00 AM,18+,Boys,51,Basketball Federation Certified,4.0,403,False,"{""instagram"": ""https://instagram.com/elite-performance-academy-tirupati-4"", ""facebook"": ""https://facebook.com/elite-performance-academy-tirupati-4"", ""youtube"": ""https://youtube.com/@elite-performance-academy-tirupati-4""}"
c5b47d0d-9507-4427-82f7-bd4f3ac65170,Victory Athletic Center Kurnool 5,victory-athletic-center-kurnool-5,15.853257,78.030039,Professional Cricket coaching academy offering structured training programs.,Cricket,"Plot 827, Sports Hub, Kurnool",Kurnool,Andhra Pradesh,+917432189289,"https://maps.google.com/?q=15.853257,78.030039",https://picsum.photos/seed/victory-athletic-center-kurnool-5/800/600,Deepak Pillai,Cricket,25 Years,Victory Athletic Center Kurnool 5,₹5740/month,"Video Analysis, Gym, Bowling Machine, Practice Pitch",5:30 AM - 7:30 AM,15-18,Girls,39,"BCCI Level 1, BCCI Level 2",4.9,334,False,"{""instagram"": ""https://instagram.com/victory-athletic-center-kurnool-5"", ""facebook"": ""https://facebook.com/victory-athletic-center-kurnool-5"", ""youtube"": ""https://youtube.com/@victory-athletic-center-kurnool-5""}"
8850e2b1-dfa3-47e9-bc4c-947ccb3a200e,Victory Training Center Rajahmundry 6,victory-training-center-rajahmundry-6,17.046301,81.799614,Professional Basketball coaching academy offering structured training programs.,Basketball,"Plot 363, Sports Nagar, Rajahmundry",Rajahmundry,Andhra Pradesh,+918926861613,"https://maps.google.com/?q=17.046301,81.799614",https://picsum.photos/seed/victory-training-center-rajahmundry-6/800/600,Ravi Patel,Basketball,11 Years,Victory Training Center Rajahmundry 6,₹6412/month,"Fitness Center, Locker Rooms, Outdoor Court, Indoor Court",6:00 AM - 8:00 AM,10-15,Boys,78,Basketball Federation Certified,4.6,323,False,"{""instagram"": ""https://instagram.com/victory-training-center-rajahmundry-6"", ""facebook"": ""https://facebook.com/victory-training-center-rajahmundry-6"", ""youtube"": ""https://youtube.com/@victory-training-center-rajahmundry-6""}"
cc1994da-7641-4302-9fc6-11c8f1310306,Legend Athletic Center Vijayawada 7,legend-athletic-center-vijayawada-7,16.513969,80.663238,Professional Football coaching academy offering structured training programs.,Football,"Plot 725, Victory Avenue, Vijayawada",Vijayawada,Andhra Pradesh,+917190208826,"https://maps.google.com/?q=16.513969,80.663238",https://picsum.photos/seed/legend-athletic-center-vijayawada-7/800/600,Lokesh Mishra,Football,3 Years,Legend Athletic Center Vijayawada 7,₹3079/month,"Flood Lights, Natural Grass Ground, Fitness Center, Locker Rooms",5:30 AM - 7:30 AM,All Ages,Girls,56,"AIFF D License, AIFF C License",3.8,404,False,"{""instagram"": ""https://instagram.com/legend-athletic-center-vijayawada-7"", ""facebook"": ""https://facebook.com/legend-athletic-center-vijayawada-7"", ""youtube"": ""https://youtube.com/@legend-athletic-center-vijayawada-7""}"
daf114db-1ca2-4a5d-8124-80be5ffb1235,Victory Athletic Center Kurnool 8,victory-athletic-center-kurnool-8,15.850565,78.033047,Professional Tennis coaching academy offering structured training programs.,Tennis,"Plot 576, Ring Road, Kurnool",Kurnool,Andhra Pradesh,+916645308977,"https://maps.google.com/?q=15.850565,78.033047",https://picsum.photos/seed/victory-athletic-center-kurnool-8/800/600,Mahesh Choudhary,Tennis,6 Years,Victory Athletic Center Kurnool 8,₹10047/month,"Hard Court, Fitness Center, Clay Court, Ball Machine",4:00 PM - 6:00 PM,10-15,Mixed,65,AITA Certified Coach,4.9,259,False,"{""instagram"": ""https://instagram.com/victory-athletic-center-kurnool-8"", ""facebook"": ""https://facebook.com/victory-athletic-center-kurnool-8"", ""youtube"": ""https://youtube.com/@victory-athletic-center-kurnool-8""}"
c92a18e1-2ae7-4fb5-a566-27b18a606fbc,Champion Performance Academy Rajahmundry 9,champion-performance-academy-rajahmundry-9,17.024335,81.780329,Professional Athletics coaching academy offering structured training programs.,Athletics,"Plot 482, Champions Street, Rajahmundry",Rajahmundry,Andhra Pradesh,+918397482981,"https://maps.google.com/?q=17.024335,81.780329",https://picsum.photos/seed/champion-performance-academy-rajahmundry-9/800/600,Deepak Verma,Athletics,23 Years,Champion Performance Academy Rajahmundry 9,₹2155/month,"Running Track, Recovery Zone, Gym, Fitness Center",6:00 PM - 8:00 PM,All Ages,Boys,91,Athletics Federation Certified,4.6,265,False,"{""instagram"": ""https://instagram.com/champion-performance-academy-rajahmundry-9"", ""facebook"": ""https://facebook.com/champion-performance-academy-rajahmundry-9"", ""youtube"": ""https://youtube.com/@champion-performance-academy-rajahmundry-9""}"
0dc46cbb-8500-41a9-8a41-395a95316fed,Victory Sports Club Kurnool 10,victory-sports-club-kurnool-10,15.837137,78.001229,Professional Basketball coaching academy offering structured training programs.,Basketball,"Plot 855, Sports Complex, Kurnool",Kurnool,Andhra Pradesh,+916629443781,"https://maps.google.com/?q=15.837137,78.001229",https://picsum.photos/seed/victory-sports-club-kurnool-10/800/600,Aman Verma,Basketball,9 Years,Victory Sports Club Kurnool 10,₹2623/month,"Fitness Center, Locker Rooms, Indoor Court, Outdoor Court",6:00 AM - 8:00 AM,15-18,Mixed,88,Basketball Federation Certified,3.6,166,True,"{""instagram"": ""https://instagram.com/victory-sports-club-kurnool-10"", ""facebook"": ""https://facebook.com/victory-sports-club-kurnool-10"", ""youtube"": ""https://youtube.com/@victory-sports-club-kurnool-10""}"
